OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,207046,273534,184907,147138,103782
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,173304,237930,150396,119268,84840
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,203894,252128,175033,137721,95384
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,169115,272916,184394,140650,109113
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,236509,285527,196766,162609,107556
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,220610,272362,189480,153704,93505
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,229242,322910,209265,167412,111057
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,TRUE,2021-08-01T00:00:00,2021-08-31T23:59:59,Month,2021-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,190879,251599,164436,131764,97085
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,205392,270748,182932,146961,104013
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,173518,237831,150182,120052,86388
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,201297,248688,172420,136376,95538
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,170154,274052,184916,141961,110037
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,232539,280938,193096,159843,106531
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,211920,261745,181540,147921,90836
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,226828,319181,206460,166245,110769
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,195902,257829,168345,135969,100771
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,205799,271761,182342,147668,104204
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,171207,235415,147350,118338,85321
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,199923,247915,170104,135087,94777
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,172367,277698,186721,144290,110961
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,231431,280833,191052,158578,105473
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,208541,258563,177676,144955,88882
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,231426,326656,209715,169687,112529
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,198492,262204,169480,137629,101901
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,202167,267365,179029,144530,102770
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,169837,233722,146038,117160,84947
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,195814,243041,166362,132051,93189
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,166915,269089,180913,139549,107667
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,229184,278345,189054,156685,104830
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,205188,254705,174556,142254,88003
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,231360,326757,209583,169405,112787
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,189835,251044,161911,131428,97816
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,201591,266636,178262,144275,102780
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,168451,232025,144568,116109,84648
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,192511,239123,163323,129708,91756
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,165749,266807,179409,138781,107113
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,228689,277971,188332,156249,105172
